genotype,sample_num,ont_folder,barcode,kit,sample_id
WT,1,20240525_2109_X1_FAX64326_9e196595,1,SQK-NBD114_24,no_sample
WT,2,20240525_2109_X1_FAX64326_9e196595,2,SQK-NBD114_24,no_sample
WT,3,20240525_2109_X1_FAX64326_9e196595,3,SQK-NBD114_24,no_sample
WT,4,20240525_2109_X1_FAX64326_9e196595,4,SQK-NBD114_24,no_sample
WT,5,20240525_2109_X1_FAX64326_9e196595,5,SQK-NBD114_24,no_sample
WT,6,20240525_2109_X2_FAY63592_dadeda16,6,SQK-NBD114_24,no_sample
WT,7,20240525_2109_X2_FAY63592_dadeda16,7,SQK-NBD114_24,no_sample
WT,8,20240525_2109_X2_FAY63592_dadeda16,8,SQK-NBD114_24,no_sample
WT,9,20240525_2109_X2_FAY63592_dadeda16,9,SQK-NBD114_24,no_sample
WT,10,20240525_2109_X2_FAY63592_dadeda16,10,SQK-NBD114_24,no_sample
WT,11,20240525_2109_X3_FAY64702_484c3b86,11,SQK-NBD114_24,no_sample
WT,12,20240525_2109_X3_FAY64702_484c3b86,12,SQK-NBD114_24,no_sample
WT,13,20240525_2109_X3_FAY64702_484c3b86,13,SQK-NBD114_24,no_sample
WT,14,20240525_2109_X3_FAY64702_484c3b86,14,SQK-NBD114_24,no_sample
WT,15,20240525_2109_X3_FAY64702_484c3b86,15,SQK-NBD114_24,no_sample
WT,16,20240619_2030_X1_FAX66580_7a420383,1,SQK-NBD114_24,wt32-54
WT,17,20240619_2030_X1_FAX66580_7a420383,2,SQK-NBD114_24,wt32-54
WT,18,20240619_2030_X1_FAX66580_7a420383,3,SQK-NBD114_24,wt32-54
WT,19,20240619_2030_X1_FAX66580_7a420383,4,SQK-NBD114_24,wt32-54
WT,20,20240619_2030_X1_FAX66580_7a420383,5,SQK-NBD114_24,wt32-54
WT,21,20240619_2030_X1_FAX66580_7a420383,6,SQK-NBD114_24,wt32-54
WT,22,20240619_2030_X1_FAX66580_7a420383,7,SQK-NBD114_24,wt32-54
WT,23,20240619_2030_X1_FAX66580_7a420383,8,SQK-NBD114_24,wt32-54
WT,24,20240619_2030_X1_FAX66580_7a420383,9,SQK-NBD114_24,wt32-54
WT,25,20240619_2030_X1_FAX66580_7a420383,10,SQK-NBD114_24,wt32-54
WT,26,20240619_2030_X1_FAX66580_7a420383,11,SQK-NBD114_24,wt32-54
WT,27,20240619_2030_X1_FAX66580_7a420383,12,SQK-NBD114_24,wt32-54
WT,28,20240619_2030_X1_FAX66580_7a420383,13,SQK-NBD114_24,wt32-54
WT,29,20240619_2030_X1_FAX66580_7a420383,14,SQK-NBD114_24,wt32-54
WT,30,20240619_2030_X1_FAX66580_7a420383,15,SQK-NBD114_24,wt32-54
WT,31,20240619_2030_X1_FAX66580_7a420383,16,SQK-NBD114_24,wt32-54
WT,32,20240619_2030_X1_FAX66580_7a420383,17,SQK-NBD114_24,wt32-54
WT,33,20240619_2030_X1_FAX66580_7a420383,18,SQK-NBD114_24,wt32-54
WT,34,20240619_2030_X1_FAX66580_7a420383,19,SQK-NBD114_24,wt32-54
WT,35,20240619_2030_X1_FAX66580_7a420383,20,SQK-NBD114_24,wt32-54
WT,36,20240619_2030_X1_FAX66580_7a420383,21,SQK-NBD114_24,wt32-54
WT,37,20240619_2030_X1_FAX66580_7a420383,22,SQK-NBD114_24,wt32-54
WT,38,20240628_1916_X1_FAX64491_e77a9191,1,SQK-NBD114_24,no_sample
WT,39,20240628_1916_X1_FAX64491_e77a9191,2,SQK-NBD114_24,no_sample
WT,40,20240628_1916_X1_FAX64491_e77a9191,3,SQK-NBD114_24,no_sample
WT,41,20240628_1916_X1_FAX64491_e77a9191,4,SQK-NBD114_24,no_sample
WT,42,20240628_1916_X1_FAX64491_e77a9191,5,SQK-NBD114_24,no_sample
WT,43,20240628_1916_X1_FAX64491_e77a9191,6,SQK-NBD114_24,no_sample
WT,44,20240628_1916_X1_FAX64491_e77a9191,7,SQK-NBD114_24,no_sample
WT,45,20240628_1916_X1_FAX64491_e77a9191,8,SQK-NBD114_24,no_sample
WT,46,20240628_1916_X1_FAX64491_e77a9191,9,SQK-NBD114_24,no_sample
WT,47,20240628_1916_X1_FAX64491_e77a9191,10,SQK-NBD114_24,no_sample
WT,48,20240628_1916_X1_FAX64491_e77a9191,11,SQK-NBD114_24,no_sample
WT,49,20240628_1916_X1_FAX64491_e77a9191,12,SQK-NBD114_24,no_sample
WT,50,20240628_1916_X1_FAX64491_e77a9191,13,SQK-NBD114_24,no_sample
WT,51,20240628_1916_X1_FAX64491_e77a9191,14,SQK-NBD114_24,no_sample
WT,52,20240730_1955_X2_FAZ21430_c898a84c,13,SQK-NBD114_24,library5
WT,53,20240730_1955_X2_FAZ21430_c898a84c,14,SQK-NBD114_24,library5
WT,54,20240730_1955_X2_FAZ21430_c898a84c,15,SQK-NBD114_24,library5
WT,55,20240730_1955_X2_FAZ21430_c898a84c,16,SQK-NBD114_24,library5
WT,56,20240730_1955_X2_FAZ21430_c898a84c,17,SQK-NBD114_24,library5
WT,57,20240730_1955_X2_FAZ21430_c898a84c,18,SQK-NBD114_24,library5
WT,58,20240730_1955_X2_FAZ21430_c898a84c,19,SQK-NBD114_24,library5
WT,59,20240730_1955_X2_FAZ21430_c898a84c,20,SQK-NBD114_24,library5
WT,60,20240730_1955_X2_FAZ21430_c898a84c,21,SQK-NBD114_24,library5
WT,61,20240730_1955_X2_FAZ21430_c898a84c,22,SQK-NBD114_24,library5
WT,62,20240730_1955_X2_FAZ21430_c898a84c,23,SQK-NBD114_24,library5
WT,63,20240730_1955_X2_FAZ21430_c898a84c,24,SQK-NBD114_24,library5
